entrance;apartment;charge_id;vehicle_id;service;service_item;period;plate;model;parking_time;charge_amount;paid_amount;balance_amount;overpaid_amount;payment_status;apt_charge_count;same_service_charge_count;sibling_vehicles;flags;hint
1;1;1;1;PARKING_NIGHT;;2026-05_2026-06;AA9599EA;LEXUS;Night;1000.0;0.0;1000.0;0.0;UNPAID;1;1;;;
1;2;2;2;PARKING_NIGHT;;2026-05_2026-06;AI8756HK;MERCEDES;Night;1000.0;0.0;1000.0;0.0;UNPAID;1;1;;;
1;8;3;3;PARKING_NIGHT;;2026-05_2026-06;AA8008M;LEXUS;Night;1000.0;0.0;1000.0;0.0;UNPAID;1;1;;;
1;10;4;4;PARKING_NIGHT;;2026-05_2026-06;AA54B;AA3455;Night;1000.0;0.0;1000.0;0.0;UNPAID;1;1;;;
1;12;5;5;PARKING_NIGHT;;2026-05_2026-06;A0448YB;AUDI;Night;1000.0;0.0;1000.0;0.0;UNPAID;1;1;;;
1;13;6;6;PARKING_DAY;;2026-05_2026-06;KA7550BC;SKODA;Day;400.0;0.0;400.0;0.0;UNPAID;2;1;charge=7 vehicle=9 AA5472OA rest=1000;;
1;13;7;9;PARKING_NIGHT;;2026-05_2026-06;AA5472OA;;Night;1000.0;0.0;1000.0;0.0;UNPAID;2;1;charge=6 vehicle=6 KA7550BC rest=400;;
1;14;8;7;PARKING_NIGHT;;2026-05_2026-06;KA1165IB;HYUNDAI;Night;1000.0;0.0;1000.0;0.0;UNPAID;1;1;;;
2;27;9;15;PARKING_NIGHT;;2026-05_2026-06;AP8170IX;TOYOTA;Night;1000.0;0.0;1000.0;0.0;UNPAID;1;1;;;
2;29;10;16;PARKING_NIGHT;;2026-05_2026-06;AA5432EX;TOYOTA;Night;1000.0;0.0;1000.0;0.0;UNPAID;1;1;;;
2;30;11;17;PARKING_NIGHT;;2026-05_2026-06;KA0186CM;TOYOTA;Night;1000.0;500.0;500.0;0.0;PARTIAL;1;1;;PARTIAL_SINGLE_CHARGE;"Оплата меньше начисления; простой пары внутри квартиры не видно"
