path,name,line,end_line,async_func,args,decorators,doc
access_control.py,now_db,41,42,False,,,
access_control.py,text,45,46,False,value: Any,,
access_control.py,norm_scope_type,49,51,False,value: Any,,
access_control.py,norm_scope_value,54,56,False,value: Any,,
access_control.py,get_db_file,59,60,False,,,
access_control.py,get_conn,63,67,False,,,
access_control.py,table_exists,70,75,False,"cur: sqlite3.Cursor, table: str",,
access_control.py,schema_ready,78,97,False,conn: sqlite3.Connection | None=None,,
access_control.py,scope_matches,100,119,False,"granted_type: Any, granted_value: Any, requested_type: Any, requested_value: Any",,True when a permission scope covers the requested scope. ALL:* covers everything. CASHBOX:* covers every cashbox.
access_control.py,_active_user_overrides,122,141,False,"cur: sqlite3.Cursor, user_id: int | str, resource: str, action: str",,
access_control.py,_active_role_permissions,144,175,False,"cur: sqlite3.Cursor, user_id: int | str, resource: str, action: str",,
access_control.py,has_permission,178,236,False,"user_id: int | str, resource: str, action: str, *, scope_type: str=ALL_SCOPE_TYPE, scope_value: str=ALL_SCOPE_VALUE, conn: sqlite3.Connection | None=None",,Permission precedence: 1. direct active DENY -> deny; 2. direct active ALLOW -> allow; 3. role DENY -> deny; 4. role ALLOW -> allow; 5. no rule -> deny. Passing conn is useful for migration/preflight tests.
access_control.py,has_guard_workspace_access,239,252,False,"user_id: int | str, *, cashbox_code: str='O', conn: sqlite3.Connection | None=None",,
access_control.py,list_user_roles,255,284,False,"user_id: int | str, *, conn: sqlite3.Connection | None=None",,
access_control.py,workspace_options,287,304,False,"user_id: int | str, *, conn: sqlite3.Connection | None=None",,"The bot may later expose more workspaces. Current first workspace: guard post O. The result is permission-based, not ADMIN_IDS-based."
access_control.py,write_access_audit,307,345,False,"conn: sqlite3.Connection, *, actor_user_id: int | str, action_type: str, resource: str, action: str, scope_type: str, scope_value: str, target_table: str='', target_id: int | str='', success: bool=True, details: str=''",,
access_control.py,write_business_access_audit,348,399,False,"conn: sqlite3.Connection, *, actor_user_id: int | str, action_type: str, resource: str, action: str, scope_type: str, scope_value: str, target_table: str='', target_id: int | str='', details: str=''",,"Writes the security audit and, when available, mirrors key information to operator_audit_log. Caller controls transaction commit."
audit_composite_apartments.py,is_composite_apartment,21,27,False,value,,
audit_composite_apartments.py,get_main_apartments,30,44,False,,,
audit_composite_apartments.py,get_tbot_rows,47,67,False,,,
audit_composite_apartments.py,apartment_exists,70,71,False,"apartment_set, apartment_number",,
audit_composite_apartments.py,normalize_proposal,74,82,False,apartment_number,,
audit_composite_apartments.py,split_apartments,85,90,False,apartment_number,,
audit_composite_apartments.py,main,93,174,False,,,
audit_logger.py,get_db_file,20,23,False,,,
audit_logger.py,now_db,26,27,False,,,
audit_logger.py,table_exists,30,32,False,"cur, table_name",,
audit_logger.py,table_columns,35,37,False,"cur, table_name",,
audit_logger.py,add_column_if_missing,40,45,False,"cur, table_name, column_name, column_def",,
audit_logger.py,ensure_audit_log,48,113,False,conn,,
audit_logger.py,audit_log,116,185,False,"*, conn=None, db_file=None, operator_id=None, user_id=None, actor_type='system', action_type, table_name, row_id=None, field_name=None, old_value=None, new_value=None, action_status='applied', review_status='pending', source_context=None, comment=None, extra=None, commit=True",,
audit_logger.py,audit_field_change,188,219,False,"*, conn, table_name, row_id, field_name, old_value, new_value, operator_id=None, user_id=None, actor_type='operator', action_type='update_field', source_context=None, comment=None, extra=None",,
audit_logger.py,audit_system_event,222,248,False,"*, conn=None, db_file=None, action_type, source_context=None, comment=None, extra=None, commit=True",,
audit_logger.py,self_test,251,279,False,,,
audit_logger.py,main,282,292,False,,,
audit_osbb_telegram_messages.py,save_report,54,68,False,lines,,
audit_osbb_telegram_messages.py,main,71,197,False,,,
audit_registry.py,fetch_all,15,17,False,"cur, sql, params=()",,
audit_registry.py,audit_registry,45,252,False,,,
audit_registry.py,__init__,21,26,False,self,,
audit_registry.py,add,28,29,False,"self, text=''",,
audit_registry.py,section,31,35,False,"self, title",,
audit_registry.py,save,37,42,False,self,,
audit_tbot_quarantine.py,fetch_all,16,18,False,"cur, sql, params=()",,
audit_tbot_quarantine.py,get_main_snapshot,43,118,False,cur,,"Основная рабочая база: apartment_number -> данные квартиры, контакты, авто"
audit_tbot_quarantine.py,get_tbot_snapshot,121,193,False,cur,,
audit_tbot_quarantine.py,fmt_set,196,199,False,values,,
audit_tbot_quarantine.py,audit_tbot_quarantine,202,465,False,,,
audit_tbot_quarantine.py,__init__,22,27,False,self,,
audit_tbot_quarantine.py,add,29,30,False,"self, text=''",,
audit_tbot_quarantine.py,section,32,36,False,"self, title",,
audit_tbot_quarantine.py,save,38,40,False,self,,
billing/build_parking_time_review_tasks.py,now,20,21,False,,,
billing/build_parking_time_review_tasks.py,create_table,24,68,False,cur,,
billing/build_parking_time_review_tasks.py,clear_previous,71,77,False,cur,,
billing/build_parking_time_review_tasks.py,create_missing_tasks,80,144,False,cur,,
billing/build_parking_time_review_tasks.py,create_conflict_tasks,147,159,False,cur,,Пока заготовка. Сюда позже добавим: - сравнение с Охорона.xlsx - Day/Night конфликты - нестандартные записи: '1-д і сутки'
billing/build_parking_time_review_tasks.py,build_tasks,162,192,False,,,
billing/import_ohorona_parking_time.py,now_ts,41,42,False,,,
billing/import_ohorona_parking_time.py,norm_apartment,45,56,False,value,,
billing/import_ohorona_parking_time.py,parse_tariff_cell,59,97,False,value,,"Расшифровка: 1-день -> 1 авто Day 2-день -> 2 авто Day 1-сутки -> 1 авто Night 2-сутки -> 2 авто Night В одной ячейке допускается несколько фрагментов, например: 1-день, 1-сутки"
billing/import_ohorona_parking_time.py,read_ohorona_hints,100,150,False,source_file: Path,,"Читает B/C листа Лист1. Если B пустая, используется последняя найденная квартира выше. Это как раз покрывает строки 5-6, 13-14, 17-18 и подобные случаи."
billing/import_ohorona_parking_time.py,load_db_vehicles,153,186,False,,,
billing/import_ohorona_parking_time.py,apt_sort_key,189,191,False,apt,,
billing/import_ohorona_parking_time.py,vehicle_label,194,198,False,v,,
billing/import_ohorona_parking_time.py,classify_apartments,201,247,False,"hints, vehicles",,
billing/import_ohorona_parking_time.py,write_report,250,355,False,"hints, vehicles, classified, report_file: Path",,
billing/import_ohorona_parking_time.py,apply_auto_safe,358,383,False,auto_safe,,В базу записываются только AUTO-FILL SAFE случаи. Неоднозначные квартиры НЕ трогаются.
billing/import_ohorona_parking_time.py,main,386,430,False,,,
billing/import_ohorona_parking_time_simple_preview.py,now_ts,41,42,False,,,
billing/import_ohorona_parking_time_simple_preview.py,norm_apartment,45,56,False,value,,
billing/import_ohorona_parking_time_simple_preview.py,parse_tariff_cell,59,97,False,value,,"Расшифровка: 1-день -> 1 авто Day 2-день -> 2 авто Day 1-сутки -> 1 авто Night 2-сутки -> 2 авто Night В одной ячейке допускается несколько фрагментов, например: 1-день, 1-сутки"
billing/import_ohorona_parking_time_simple_preview.py,read_ohorona_hints,100,150,False,source_file: Path,,"Читает B/C листа Лист1. Если B пустая, используется последняя найденная квартира выше. Это как раз покрывает строки 5-6, 13-14, 17-18 и подобные случаи."
billing/import_ohorona_parking_time_simple_preview.py,load_db_vehicles,153,186,False,,,
billing/import_ohorona_parking_time_simple_preview.py,apt_sort_key,189,191,False,apt,,
billing/import_ohorona_parking_time_simple_preview.py,vehicle_label,194,198,False,v,,
billing/import_ohorona_parking_time_simple_preview.py,classify_apartments,201,247,False,"hints, vehicles",,
billing/import_ohorona_parking_time_simple_preview.py,format_tariff_hint_short,250,259,False,h,,
billing/import_ohorona_parking_time_simple_preview.py,write_simple_preview_section,262,282,False,"lines, hints, vehicles",,
billing/import_ohorona_parking_time_simple_preview.py,write_report,285,392,False,"hints, vehicles, classified, report_file: Path",,
billing/import_ohorona_parking_time_simple_preview.py,apply_auto_safe,395,420,False,auto_safe,,В базу записываются только AUTO-FILL SAFE случаи. Неоднозначные квартиры НЕ трогаются.
billing/import_ohorona_parking_time_simple_preview.py,main,423,467,False,,,
billing/import_parking_time_hints_from_ohorona.py,now_ts,35,36,False,,,
billing/import_parking_time_hints_from_ohorona.py,norm_apartment,39,54,False,value,,
billing/import_parking_time_hints_from_ohorona.py,parse_tariff_text,57,79,False,value,,
billing/import_parking_time_hints_from_ohorona.py,read_ohorona_list1,82,133,False,,,
billing/import_parking_time_hints_from_ohorona.py,load_db_vehicles,136,184,False,,,
billing/import_parking_time_hints_from_ohorona.py,apt_sort_key,187,189,False,apt,,
billing/import_parking_time_hints_from_ohorona.py,vehicle_line,192,198,False,v,,
billing/import_parking_time_hints_from_ohorona.py,main,201,362,False,,,
billing/migrate_add_parking_billing.py,now,15,16,False,,,
billing/migrate_add_parking_billing.py,migrate,19,169,False,,,
billing/report_parking_time_review_tasks.py,now_ts,19,20,False,,,
billing/report_parking_time_review_tasks.py,get_telegram_facts,23,55,False,,,
billing/report_parking_time_review_tasks.py,main,58,229,False,,,
billing/report_parking_time_with_hints.py,now_ts,34,35,False,,,
billing/report_parking_time_with_hints.py,apt_sort_key,38,40,False,value,,
billing/report_parking_time_with_hints.py,norm_apartment,43,49,False,value,,
billing/report_parking_time_with_hints.py,parse_tariff_text,52,71,False,value,,
billing/report_parking_time_with_hints.py,load_ohorona_hints,74,127,False,,,
billing/report_parking_time_with_hints.py,load_vehicles,130,162,False,cur,,
billing/report_parking_time_with_hints.py,load_open_tasks,165,194,False,cur,,
billing/report_parking_time_with_hints.py,load_telegram_hints,197,236,False,,,
billing/report_parking_time_with_hints.py,recommend_for_apartment,239,321,False,"vehicles, hint",,
billing/report_parking_time_with_hints.py,confidence_rank,324,332,False,conf,,
billing/report_parking_time_with_hints.py,main,335,490,False,,,
billing_reconciliation_report.py,get_db_file,17,18,False,,,
billing_reconciliation_report.py,now_ts,21,22,False,,,
billing_reconciliation_report.py,money,25,27,False,value,,
billing_reconciliation_report.py,apt_sort_key,30,32,False,apt,,
billing_reconciliation_report.py,table_exists,35,37,False,"cur, table_name",,
billing_reconciliation_report.py,table_columns,40,42,False,"cur, table_name",,
billing_reconciliation_report.py,pick_table,45,49,False,"cur, *names",,
billing_reconciliation_report.py,service_label,52,58,False,code,,
billing_reconciliation_report.py,load_charges,61,89,False,"cur, charges_table, period_code",,
billing_reconciliation_report.py,load_payments,92,132,False,"cur, payments_table, period_code",,
billing_reconciliation_report.py,load_allocations,135,148,False,"cur, allocations_table",,
billing_reconciliation_report.py,build_reconciliation,151,239,False,"conn, period_code",,
billing_reconciliation_report.py,format_charge_line,242,248,False,c,,
billing_reconciliation_report.py,format_payment_line,251,259,False,p,,
billing_reconciliation_report.py,write_section,262,281,False,"lines, title, items, formatter",,
billing_reconciliation_report.py,write_report,284,353,False,"report_file, data, db_file, period_code",,
billing_reconciliation_report.py,main,356,391,False,,,
billing_reconciliation_report.py,sort_item,272,277,False,x,,
billing_statement_excel.py,get_db_file,25,26,False,,,
billing_statement_excel.py,now_ts,29,30,False,,,
billing_statement_excel.py,money,33,35,False,value,,
billing_statement_excel.py,table_exists,38,43,False,"cur, table_name",,
billing_statement_excel.py,table_columns,46,48,False,"cur, table_name",,
billing_statement_excel.py,pick_table,51,55,False,"cur, *names",,
billing_statement_excel.py,apt_sort_key,58,60,False,apt,,
billing_statement_excel.py,service_label,63,71,False,code,,
billing_statement_excel.py,load_charges,74,106,False,"cur, period_code",,
billing_statement_excel.py,load_payments,109,140,False,"cur, period_code",,
billing_statement_excel.py,load_allocations,143,157,False,cur,,
billing_statement_excel.py,load_vehicles_without_tariff,160,176,False,cur,,
billing_statement_excel.py,build_statement,179,248,False,"conn, period_code",,
billing_statement_excel.py,add_table,251,264,False,"ws, name",,
billing_statement_excel.py,autosize,267,274,False,ws,,
billing_statement_excel.py,style_sheet,277,297,False,ws,,
billing_statement_excel.py,write_xlsx,300,506,False,"filename, data, period_code",,
billing_statement_excel.py,main,509,546,False,,,
billing_statement_excel.py,expr,116,117,False,"col, default='NULL'",,
billing_statement_excel.py,apt_item,197,209,False,apt,,
Bots/data_park_bot.py,start,58,72,True,"update: Update, context: ContextTypes.DEFAULT_TYPE",,
Bots/data_park_bot.py,show_main_menu,79,95,True,"update, lang",,
Bots/data_park_bot.py,message_handler,102,130,True,"update: Update, context: ContextTypes.DEFAULT_TYPE",,
Bots/data_park_bot.py,main,137,151,False,,,
Bots/db_access - Copy.py,now,19,20,False,,,
Bots/db_access - Copy.py,get_conn,26,29,False,,,
Bots/db_access - Copy.py,get_admin_record,36,60,False,telegram_user_id,,
Bots/db_access - Copy.py,is_admin,63,64,False,telegram_user_id,,
Bots/db_access - Copy.py,is_super_admin,67,73,False,telegram_user_id,,
Bots/db_access - Copy.py,can_write,76,82,False,telegram_user_id,,
Bots/db_access - Copy.py,can_manage_users,85,91,False,telegram_user_id,,
Bots/db_access - Copy.py,upsert_resident_account_from_telegram,98,143,False,"user, language_code='ru'",,Создаёт/обновляет resident_accounts по Telegram user. Квартиру не привязывает.
Bots/db_access - Copy.py,get_resident_account,146,174,False,telegram_user_id,,
Bots/db_access - Copy.py,get_accounts_by_apartment,177,198,False,apartment_number,,
Bots/db_access - Copy.py,get_resident_accounts_summary,202,251,False,limit=10,,
Bots/db_access - Copy.py,format_resident_accounts_summary,254,295,False,summary,,
Bots/db_access - Copy.py,find_apartment,298,314,False,apartment_number,,
Bots/db_access - Copy.py,link_resident_to_apartment,317,349,False,"telegram_user_id, apartment_number, status='apartment_confirmed'",,
Bots/db_access - Copy.py,get_apartment_vehicles,356,390,False,apartment_number,,
Bots/db_access - Copy.py,format_vehicle_list,393,415,False,vehicles,,
Bots/db_access - Copy.py,write_audit_log,422,473,False,"telegram_user_id, action_type, table_name=None, record_id=None, old_value=None, new_value=None, actor_role=None, actor_name=None, comment=None, source='bot'",,
Bots/db_access - Copy.py,get_resident_accounts_by_filter,481,519,False,"filter_name='all', limit=30",,
Bots/db_access - Copy.py,format_resident_accounts_list,522,550,False,"title, rows",,
Bots/db_access - Copy.py,get_resident_account_by_telegram_id,553,554,False,telegram_user_id,,
Bots/db_access - Copy.py,format_resident_account_card,557,604,False,account,,
Bots/db_access - Copy.py,mark_resident_operator_verified,607,630,False,telegram_user_id,,
Bots/db_access - Copy.py,unlink_resident_account,633,658,False,telegram_user_id,,
Bots/db_access - Copy.py,get_vehicle_by_id_for_apartment,665,674,False,"vehicle_id, apartment_number=None",,
