importer_path,imported_module,imported_name,line,local_candidate
access_control.py,__future__,annotations,16,False
access_control.py,sqlite3,,18,False
access_control.py,sys,,19,False
access_control.py,datetime,datetime,20,False
access_control.py,pathlib,Path,21,False
access_control.py,typing,Any,22,False
access_control.py,config,paths,29,False
access_control.py,config,USE_TEST_DB,29,False
access_control.py,audit_logger,audit_log,32,True
audit_composite_apartments.py,pathlib,Path,3,False
audit_composite_apartments.py,sys,,4,False
audit_composite_apartments.py,re,,10,False
audit_composite_apartments.py,sqlite3,,11,False
audit_composite_apartments.py,config,paths,13,False
audit_logger.py,pathlib,Path,1,False
audit_logger.py,sys,,2,False
audit_logger.py,sqlite3,,3,False
audit_logger.py,datetime,datetime,4,False
audit_logger.py,json,,5,False
audit_logger.py,config,paths,14,False
audit_logger.py,config,USE_TEST_DB,14,False
audit_logger.py,argparse,,283,False
audit_osbb_telegram_messages.py,pathlib,Path,1,False
audit_osbb_telegram_messages.py,sys,,2,False
audit_osbb_telegram_messages.py,sqlite3,,3,False
audit_osbb_telegram_messages.py,re,,4,False
audit_osbb_telegram_messages.py,datetime,datetime,5,False
audit_osbb_telegram_messages.py,config,paths,13,False
audit_registry.py,pathlib,Path,1,False
audit_registry.py,sys,,2,False
audit_registry.py,sqlite3,,3,False
audit_registry.py,datetime,datetime,4,False
audit_registry.py,config,paths,12,False
audit_tbot_quarantine.py,pathlib,Path,1,False
audit_tbot_quarantine.py,sys,,2,False
audit_tbot_quarantine.py,sqlite3,,3,False
audit_tbot_quarantine.py,datetime,datetime,4,False
audit_tbot_quarantine.py,config,paths,12,False
audit_tbot_quarantine.py,utils,norm_text,13,True
audit_tbot_quarantine.py,utils,norm_apartment,13,True
billing/build_parking_time_review_tasks.py,pathlib,Path,1,False
billing/build_parking_time_review_tasks.py,sys,,2,False
billing/build_parking_time_review_tasks.py,sqlite3,,3,False
billing/build_parking_time_review_tasks.py,datetime,datetime,4,False
billing/build_parking_time_review_tasks.py,config,paths,14,False
billing/import_ohorona_parking_time.py,pathlib,Path,1,False
billing/import_ohorona_parking_time.py,sys,,2,False
billing/import_ohorona_parking_time.py,sqlite3,,3,False
billing/import_ohorona_parking_time.py,re,,4,False
billing/import_ohorona_parking_time.py,argparse,,5,False
billing/import_ohorona_parking_time.py,datetime,datetime,6,False
billing/import_ohorona_parking_time.py,collections,defaultdict,7,False
billing/import_ohorona_parking_time.py,openpyxl,load_workbook,9,False
billing/import_ohorona_parking_time.py,config,paths,20,False
billing/import_ohorona_parking_time_simple_preview.py,pathlib,Path,1,False
billing/import_ohorona_parking_time_simple_preview.py,sys,,2,False
billing/import_ohorona_parking_time_simple_preview.py,sqlite3,,3,False
billing/import_ohorona_parking_time_simple_preview.py,re,,4,False
billing/import_ohorona_parking_time_simple_preview.py,argparse,,5,False
billing/import_ohorona_parking_time_simple_preview.py,datetime,datetime,6,False
billing/import_ohorona_parking_time_simple_preview.py,collections,defaultdict,7,False
billing/import_ohorona_parking_time_simple_preview.py,openpyxl,load_workbook,9,False
billing/import_ohorona_parking_time_simple_preview.py,config,paths,20,False
billing/import_parking_time_hints_from_ohorona.py,pathlib,Path,1,False
billing/import_parking_time_hints_from_ohorona.py,sys,,2,False
billing/import_parking_time_hints_from_ohorona.py,sqlite3,,3,False
billing/import_parking_time_hints_from_ohorona.py,re,,4,False
billing/import_parking_time_hints_from_ohorona.py,datetime,datetime,5,False
billing/import_parking_time_hints_from_ohorona.py,collections,defaultdict,6,False
billing/import_parking_time_hints_from_ohorona.py,openpyxl,load_workbook,8,False
billing/import_parking_time_hints_from_ohorona.py,config,paths,18,False
billing/migrate_add_parking_billing.py,pathlib,Path,1,False
billing/migrate_add_parking_billing.py,sys,,2,False
billing/migrate_add_parking_billing.py,sqlite3,,3,False
billing/migrate_add_parking_billing.py,datetime,datetime,4,False
billing/migrate_add_parking_billing.py,config,paths,12,False
billing/report_parking_time_review_tasks.py,pathlib,Path,1,False
billing/report_parking_time_review_tasks.py,sys,,2,False
billing/report_parking_time_review_tasks.py,sqlite3,,3,False
billing/report_parking_time_review_tasks.py,datetime,datetime,4,False
billing/report_parking_time_review_tasks.py,collections,defaultdict,5,False
billing/report_parking_time_review_tasks.py,config,paths,15,False
billing/report_parking_time_review_tasks.py,utils,apartment_sort_sql,16,True
billing/report_parking_time_with_hints.py,pathlib,Path,1,False
billing/report_parking_time_with_hints.py,sys,,2,False
billing/report_parking_time_with_hints.py,sqlite3,,3,False
billing/report_parking_time_with_hints.py,re,,4,False
billing/report_parking_time_with_hints.py,datetime,datetime,5,False
billing/report_parking_time_with_hints.py,collections,defaultdict,6,False
billing/report_parking_time_with_hints.py,openpyxl,load_workbook,8,False
billing/report_parking_time_with_hints.py,config,paths,18,False
billing_reconciliation_report.py,pathlib,Path,1,False
billing_reconciliation_report.py,sys,,2,False
billing_reconciliation_report.py,sqlite3,,3,False
billing_reconciliation_report.py,argparse,,4,False
billing_reconciliation_report.py,datetime,datetime,5,False
billing_reconciliation_report.py,config,paths,12,False
billing_reconciliation_report.py,config,USE_TEST_DB,12,False
billing_statement_excel.py,pathlib,Path,1,False
billing_statement_excel.py,sys,,2,False
billing_statement_excel.py,sqlite3,,3,False
billing_statement_excel.py,argparse,,4,False
billing_statement_excel.py,datetime,datetime,5,False
billing_statement_excel.py,collections,defaultdict,6,False
billing_statement_excel.py,openpyxl,Workbook,8,False
