path,function,line,end_line,async_func,remote_flow_hits,debt_check_hits,write_flow_hits,category,first_remote_context,first_debt_context
Bots/handlers/client_portal.py,_remote_table_ready,1307,1312,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"1310: return table_exists(conn.cursor(), ""remote_requests"")",
Bots/handlers/client_portal.py,_remote_requests_for_account,1323,1338,False,2,0,0,REMOTE_FLOW_NO_DEBT_WORDS,1323: def _remote_requests_for_account(account_id: int) -> list[dict]:,
Bots/handlers/client_portal.py,_create_remote_request,1341,1399,False,2,0,2,REMOTE_FLOW_NO_DEBT_WORDS,1353: INSERT INTO remote_requests (,
Bots/handlers/client_portal.py,_admin_remote_rows,1402,1423,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,1412: FROM remote_requests r,
Bots/handlers/client_portal.py,_admin_remote_request,1426,1441,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,1434: FROM remote_requests r,
Bots/handlers/client_portal.py,_update_remote_status,1444,1514,False,3,0,2,REMOTE_FLOW_NO_DEBT_WORDS,1458: FROM remote_requests WHERE id = ?,
Bots/handlers/client_portal.py,_format_my_remote_requests,1517,1532,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"1517: def _format_my_remote_requests(rows: list[dict], lang: str) -> str:",
Bots/handlers/client_portal.py,_show_my_remote_requests,1678,1691,True,3,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"1678: async def _show_my_remote_requests(update: Update, user_states: dict, user_id: int, lang: str) -> None:",
Bots/handlers/client_portal.py,handle_client_portal_text,1761,2183,True,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"2108: await _show_my_remote_requests(update, user_states, user_id, lang)",
Bots/handlers/client_portal_safe_linking.py,_remote_table_ready,1307,1312,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"1310: return table_exists(conn.cursor(), ""remote_requests"")",
Bots/handlers/client_portal_safe_linking.py,_remote_requests_for_account,1323,1338,False,2,0,0,REMOTE_FLOW_NO_DEBT_WORDS,1323: def _remote_requests_for_account(account_id: int) -> list[dict]:,
Bots/handlers/client_portal_safe_linking.py,_create_remote_request,1341,1399,False,2,0,2,REMOTE_FLOW_NO_DEBT_WORDS,1353: INSERT INTO remote_requests (,
Bots/handlers/client_portal_safe_linking.py,_admin_remote_rows,1402,1423,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,1412: FROM remote_requests r,
Bots/handlers/client_portal_safe_linking.py,_admin_remote_request,1426,1441,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,1434: FROM remote_requests r,
Bots/handlers/client_portal_safe_linking.py,_update_remote_status,1444,1514,False,3,0,2,REMOTE_FLOW_NO_DEBT_WORDS,1458: FROM remote_requests WHERE id = ?,
Bots/handlers/client_portal_safe_linking.py,_format_my_remote_requests,1517,1532,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"1517: def _format_my_remote_requests(rows: list[dict], lang: str) -> str:",
Bots/handlers/client_portal_safe_linking.py,_show_my_remote_requests,1678,1691,True,3,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"1678: async def _show_my_remote_requests(update: Update, user_states: dict, user_id: int, lang: str) -> None:",
Bots/handlers/client_portal_safe_linking.py,handle_client_portal_text,1761,2183,True,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"2108: await _show_my_remote_requests(update, user_states, user_id, lang)",
Bots/handlers/client_portal_v3.py,handle_client_portal_text,76,96,True,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,87: # service_orders_workspace. All other v2 behaviour remains unchanged.,
Bots/handlers/guard_workspace.py,_remote_rows_for_issue,502,520,False,2,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"506: if not table_exists(cur, ""remote_requests""):",
Bots/handlers/guard_workspace.py,_start_remote_received,561,575,True,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"572: ""📥 Пульт принят на пост O\n\n""",
Bots/handlers/guard_workspace.py,_show_remote_issue_list,658,686,True,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"660: user_id, ""remote_requests"", ""VIEW"",",
Bots/handlers/guard_workspace.py,_remote_request,689,697,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"693: cur.execute(""SELECT * FROM remote_requests WHERE id = ?"", (int(request_id),))",
Bots/handlers/guard_workspace.py,_show_remote_issue_card,700,724,True,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"721: [""✅ Пульт выдан""],",
Bots/handlers/guard_workspace.py,_save_remote_issued,727,808,True,8,0,2,REMOTE_FLOW_NO_DEBT_WORDS,"730: user_id, ""remote_requests"", ""ISSUE"",",
Bots/handlers/guard_workspace.py,handle_guard_workspace_text,901,1150,True,3,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"955: if message_text == ""📥 Пульт принят"":",
Bots/handlers/service_orders_workspace.py,_phone_offer_sort_key,482,495,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"492: exact_profile = 1 if profile == ""PHONE_ACCESS_CONNECT"" else 0",
Bots/handlers/service_orders_workspace.py,_category_allowed,512,519,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"515: ""service_orders"",",
Bots/handlers/service_orders_workspace.py,_current_offers,540,589,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,582: from service_orders_core import effective_price,
Bots/handlers/service_orders_workspace.py,_offer_buttons,592,645,False,3,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"627: ""REMOTE_REPROGRAM_OWN"",",
