release_dir	bundle	modified	artifacts	modules
G:\Programming\Py\OSBB\Recovered_Releases\2026-06-28__OSBB_profile_parking_time_test_v1_sandbox	OSBB_profile_parking_time_test_v1_sandbox.zip	2026-06-28 12:09:32	10	CHECK_profile_parking_time_test_sandbox, INSTALL_profile_parking_time_test, MIGRATE_profile_parking_time_test_sandbox, README_PROFILE_PARKING_TIME_TEST, RUN_CHECK_profile_parking_time_test_sandbox, RUN_INSTALL_profile_parking_time_test, RUN_MIGRATE_profile_parking_time_test_sandbox, profile_parking_time_test_core, profile_parking_time_test_workspace, run_bot_live_services_sandbox
G:\Programming\Py\OSBB\Recovered_Releases\2026-06-27__OSBB_profile_confirmation_ready_visibility_fix	OSBB_profile_confirmation_ready_visibility_fix.zip	2026-06-27 21:54:19	1	profile_verification_workspace
G:\Programming\Py\OSBB\Recovered_Releases\2026-06-27__OSBB_profile_critical_codes_fix (1)	OSBB_profile_critical_codes_fix (1).zip	2026-06-27 21:45:41	1	profile_verification_workspace
G:\Programming\Py\OSBB\Recovered_Releases\2026-06-27__OSBB_profile_critical_codes_fix	OSBB_profile_critical_codes_fix.zip	2026-06-27 21:41:13	1	profile_verification_workspace
G:\Programming\Py\OSBB\Recovered_Releases\2026-06-27__OSBB_profile_button_early_route_fix_v2	OSBB_profile_button_early_route_fix_v2.zip	2026-06-27 21:31:44	1	run_bot_live_services_sandbox
G:\Programming\Py\OSBB\Recovered_Releases\2026-06-27__OSBB_profile_verification_terminology_v2 (1)	OSBB_profile_verification_terminology_v2 (1).zip	2026-06-27 21:19:52	8	CHECK_profile_verification_terminology, INSTALL_profile_verification_terminology, README_PROFILE_VERIFICATION_TERMINOLOGY, RUN_CHECK_profile_verification_terminology, RUN_INSTALL_profile_verification_terminology, profile_verification_core, profile_verification_workspace, service_orders_workspace
G:\Programming\Py\OSBB\Recovered_Releases\2026-06-27__OSBB_profile_verification_terminology_v2	OSBB_profile_verification_terminology_v2.zip	2026-06-27 21:14:40	8	CHECK_profile_verification_terminology, INSTALL_profile_verification_terminology, README_PROFILE_VERIFICATION_TERMINOLOGY, RUN_CHECK_profile_verification_terminology, RUN_INSTALL_profile_verification_terminology, profile_verification_core, profile_verification_workspace, service_orders_workspace
G:\Programming\Py\OSBB\Recovered_Releases\2026-06-27__OSBB_profile_verification_v1_sandbox_final	OSBB_profile_verification_v1_sandbox_final.zip	2026-06-27 20:48:19	11	CHECK_profile_verification_sandbox, INSTALL_profile_verification, MIGRATE_profile_verification_sandbox, README_PROFILE_VERIFICATION, RUN_CHECK_profile_verification_sandbox, RUN_INSTALL_profile_verification, RUN_MIGRATE_profile_verification_sandbox, profile_verification_core, profile_verification_workspace, run_bot_live_services_sandbox, service_orders_workspace
G:\Programming\Py\OSBB\Recovered_Releases\2026-06-27__OSBB_service_code_compatibility_repair_phone_v2	OSBB_service_code_compatibility_repair_phone_v2.zip	2026-06-27 20:17:47	3	service_orders_core, service_orders_workspace, service_preorders_core
G:\Programming\Py\OSBB\Recovered_Releases\2026-06-27__OSBB_cashier_route_repair_after_phone_v2	OSBB_cashier_route_repair_after_phone_v2.zip	2026-06-27 20:00:03	5	INSTALL_cashier_route_after_phone, README_CASHIER_ROUTE_REPAIR_AFTER_PHONE, RUN_CHECK_cashier_route_after_phone, RUN_INSTALL_cashier_route_after_phone, run_bot_live_services_sandbox
G:\Programming\Py\OSBB\Recovered_Releases\2026-06-27__OSBB_phone_barrier_access_v2_working_sandbox	OSBB_phone_barrier_access_v2_working_sandbox.zip	2026-06-27 19:30:44	12	CHECK_phone_barrier_access_operational_sandbox, INSTALL_phone_barrier_access, MIGRATE_phone_barrier_access_operational_sandbox, README_PHONE_BARRIER_ACCESS, RUN_CHECK_phone_barrier_access_operational_sandbox, RUN_INSTALL_phone_barrier_access, RUN_MIGRATE_phone_barrier_access_operational_sandbox, phone_barrier_access_core, phone_barrier_access_service, service_orders_core, service_orders_workspace, service_preorders_core
G:\Programming\Py\OSBB\Recovered_Releases\2026-06-27__OSBB_phone_barrier_access_schema_migration	OSBB_phone_barrier_access_schema_migration.zip	2026-06-27 19:13:15	6	CHECK_phone_barrier_access_sandbox_schema, MIGRATE_phone_barrier_access_sandbox, README_PHONE_BARRIER_ACCESS_SCHEMA_MIGRATION, RUN_CHECK_phone_barrier_access_sandbox_schema, RUN_MIGRATE_phone_barrier_access_sandbox, phone_barrier_access_core
G:\Programming\Py\OSBB\Recovered_Releases\2026-06-27__OSBB_cashier_route_fix	OSBB_cashier_route_fix.zip	2026-06-27 17:33:08	2	README_CASHIER_ROUTE_FIX, run_bot_live_services_sandbox
G:\Programming\Py\OSBB\Recovered_Releases\2026-06-27__OSBB_phone_access_ui_fix_v3	OSBB_phone_access_ui_fix_v3.zip	2026-06-27 17:19:31	4	INSTALL_PHONE_ACCESS_UI_FIX, README_PHONE_ACCESS_FIX, service_orders_workspace
G:\Programming\Py\OSBB\Recovered_Releases\2026-06-27__OSBB_phone_access_ui_fix_v2	OSBB_phone_access_ui_fix_v2.zip	2026-06-27 16:49:42	4	INSTALL_PHONE_ACCESS_UI_FIX, README_PHONE_ACCESS_FIX, service_orders_workspace
G:\Programming\Py\OSBB\Recovered_Releases\2026-06-27__OSBB_phone_access_ui_fix	OSBB_phone_access_ui_fix.zip	2026-06-27 16:43:01	3	INSTALL_PHONE_ACCESS_UI_FIX, README_PHONE_ACCESS_FIX, service_orders_workspace
G:\Programming\Py\OSBB\Recovered_Releases\2026-06-27__OSBB_simplified_services_preorders_bundle	OSBB_simplified_services_preorders_bundle.zip	2026-06-27 13:27:22	7	MIGRATE_simplified_services_sandbox, RETIRE_legacy_new_remote_test_orders_sandbox, RUN_MIGRATE_simplified_services_sandbox, RUN_RETIRE_legacy_new_remote_test_orders_sandbox, service_orders_core, service_orders_workspace, service_preorders_core
G:\Programming\Py\OSBB\Recovered_Releases\2026-06-27__OSBB_live_services_sandbox_bundle	OSBB_live_services_sandbox_bundle.zip	2026-06-27 12:14:48	8	CREATE_TEST_PAYMENT_FOR_OPEN_SERVICE_ORDER, README_LIVE_SERVICES_SANDBOX, STOP_old_guard_sandbox_bots, Start_OSBB_Live_Services_Sandbox_Bot, patch_parking_bot_service_orders, run_bot_live_services_sandbox, service_orders_workspace
G:\Programming\Py\OSBB\Recovered_Releases\2026-06-26__OSBB_Live_Service_UI_v1	OSBB_Live_Service_UI_v1.zip	2026-06-26 20:40:33	5	client_portal, install_service_orders_ui, patch_parking_bot_service_orders_ui, run_bot_live_service_sandbox, service_orders_workspace
G:\Programming\Py\OSBB\Recovered_Releases\2026-06-26__OSBB_Service_Orders_Foundation_v1	OSBB_Service_Orders_Foundation_v1.zip	2026-06-26 19:38:38	3	migrate_service_orders_and_fulfillment, service_orders_core, service_orders_preflight
