path,size_kb,category,reason
build_plate_candidates.py,8.8,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
build_plate_evidence_by_digits_and_apartment.py,9.7,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
build_plate_evidence_from_telegram.py,4.3,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
CHECK_guard_sandbox_service_orders.py,15.3,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_guard_sandbox_service_orders.py,15.3,REVIEW:sandbox_name,в пути встречается 'sandbox'
CHECK_guard_sandbox_service_orders_v2.py,14.1,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_guard_sandbox_service_orders_v2.py,14.1,REVIEW:sandbox_name,в пути встречается 'sandbox'
CHECK_guard_sandbox_service_orders_v2.py,14.1,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: CHECK_guard_sandbox_service_orders.py"
CHECK_phone_barrier_access_operational_sandbox.py,2.9,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_phone_barrier_access_operational_sandbox.py,2.9,REVIEW:sandbox_name,в пути встречается 'sandbox'
CHECK_phone_barrier_access_sandbox_schema.py,3.7,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_phone_barrier_access_sandbox_schema.py,3.7,REVIEW:sandbox_name,в пути встречается 'sandbox'
CHECK_profile_button_early_route_fix.py,1.9,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_profile_confirmation_ready_visibility_fix.py,1.1,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_profile_critical_codes_fix.py,1.1,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_profile_parking_time_test_sandbox.py,2.7,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_profile_parking_time_test_sandbox.py,2.7,REVIEW:sandbox_name,в пути встречается 'sandbox'
CHECK_profile_test_candidate_apartment_40.py,10.2,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_profile_verification_sandbox.py,2.5,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_profile_verification_sandbox.py,2.5,REVIEW:sandbox_name,в пути встречается 'sandbox'
CHECK_profile_verification_terminology_v2.py,2.2,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_service_code_compatibility_phone_v2.py,3.7,REVIEW:check_script,разовый диагностический скрипт CHECK_*
Collect_sheets.py,6.8,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
Collect_sheets1.py,7.6,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
Collect_word_tables.py,4.7,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
create_clean_live_sandbox.py,15.4,REVIEW:sandbox_name,в пути встречается 'sandbox'
create_isolated_live_sandbox_v2.py,15.7,REVIEW:sandbox_name,в пути встречается 'sandbox'
Development_Conventions.md,0.9,REVIEW:duplicate_doc_name,"файл с именем 'Development_Conventions.md' встречается в нескольких папках проекта — возможен конфликт содержимого, а не просто дубль (проверьте вручную)"
diagnose_sandbox_charges.py,7.1,REVIEW:sandbox_name,в пути встречается 'sandbox'
extract_telegram_remote_facts.py,7.7,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
extract_telegram_vehicle_facts.py,11.9,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
find_sandbox_telegram_id.py,5.1,REVIEW:sandbox_name,в пути встречается 'sandbox'
FIX_live_services_sandbox_payment_schema.py,11.2,REVIEW:sandbox_name,в пути встречается 'sandbox'
Generate_Stetement.py,6.2,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
guard_workspace_preflight_v2.py,13.0,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: guard_workspace_preflight.py"
import_house_registry.py,4.1,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
import_ohorona_list1_to_central_cashbox.py,33.2,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
import_ohorona_sheet1_payments.py,26.9,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
import_ohorona_to_cashbox.py,37.1,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
import_osbb_telegram_messages.py,5.0,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
import_paper_parking.py,8.1,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
import_tbot_quarantine.py,3.9,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
INSTALL_cashier_route_after_phone_v2.py,2.8,HIGH:one_off_fix_bundle,часть связки INSTALL_*/MIGRATE_*/RUN_*/README_* одного точечного фикса
INSTALL_PHONE_ACCESS_UI_FIX.bat,1.3,HIGH:one_off_fix_bundle,часть связки INSTALL_*/MIGRATE_*/RUN_*/README_* одного точечного фикса
INSTALL_PHONE_ACCESS_UI_FIX_v2.bat,0.4,HIGH:one_off_fix_bundle,часть связки INSTALL_*/MIGRATE_*/RUN_*/README_* одного точечного фикса
INSTALL_PHONE_ACCESS_UI_FIX_v2.bat,0.4,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: INSTALL_PHONE_ACCESS_UI_FIX.bat"
INSTALL_PHONE_ACCESS_UI_FIX_v2.py,4.1,HIGH:one_off_fix_bundle,часть связки INSTALL_*/MIGRATE_*/RUN_*/README_* одного точечного фикса
INSTALL_PHONE_ACCESS_UI_FIX_v2.py,4.1,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: INSTALL_PHONE_ACCESS_UI_FIX.py"
INSTALL_PHONE_ACCESS_UI_FIX_v3.bat,0.3,HIGH:one_off_fix_bundle,часть связки INSTALL_*/MIGRATE_*/RUN_*/README_* одного точечного фикса
INSTALL_PHONE_ACCESS_UI_FIX_v3.bat,0.3,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v3), и рядом существует файл без суффикса: INSTALL_PHONE_ACCESS_UI_FIX.bat"
INSTALL_PHONE_ACCESS_UI_FIX_v3.py,3.3,HIGH:one_off_fix_bundle,часть связки INSTALL_*/MIGRATE_*/RUN_*/README_* одного точечного фикса
