path,lines,category,confidence,reasons,themes,functions,classes,imports,local_imports,imported_by_count,has_main_guard,has_argparse,has_telegram_entry,has_async_handlers,parse_error
access_control.py,400,source_module,40,regular source module candidate,"access_control, cashier, schema_db, telegram_bot",17,0,9,audit_logger,46,False,False,False,False,
audit_composite_apartments.py,178,import_cleanup_audit,65,import/clean/audit/normalization filename,"access_control, schema_db",7,0,5,,0,True,False,False,False,
audit_logger.py,297,import_cleanup_audit,65,import/clean/audit/normalization filename,"schema_db, telegram_bot",11,0,8,,43,True,True,False,False,
audit_osbb_telegram_messages.py,201,import_cleanup_audit,65,import/clean/audit/normalization filename,"access_control, cashier, parking_time, remote, schema_db, telegram_bot",2,0,6,,0,True,False,False,False,
audit_registry.py,256,import_cleanup_audit,65,import/clean/audit/normalization filename,schema_db,6,1,5,,0,True,False,False,False,
audit_tbot_quarantine.py,469,import_cleanup_audit,65,import/clean/audit/normalization filename,"access_control, parking_time, schema_db",9,1,7,utils,0,True,False,False,False,
billing/build_parking_time_review_tasks.py,196,report_export,70,report/export/billing filename,"parking_time, schema_db",6,0,5,,0,True,False,False,False,
billing/import_ohorona_parking_time.py,435,report_export,70,report/export/billing filename,"parking_time, schema_db, telegram_bot",11,0,9,,0,True,True,False,False,
billing/import_ohorona_parking_time_simple_preview.py,472,report_export,70,report/export/billing filename,"parking_time, schema_db, telegram_bot",13,0,9,,0,True,True,False,False,
billing/import_parking_time_hints_from_ohorona.py,366,report_export,70,report/export/billing filename,"parking_time, schema_db",8,0,8,,0,True,False,False,False,
billing/migrate_add_parking_billing.py,173,installer_patch_migration,85,installer/patch/migration/preflight filename,"cashier, parking_time, schema_db, telegram_bot",2,0,5,,0,True,False,False,False,
billing/report_missing_parking_time.py,1,report_export,70,report/export/billing filename,parking_time,0,0,0,,0,False,False,False,False,
billing/report_parking_time_review_tasks.py,233,report_export,70,report/export/billing filename,"access_control, parking_time, schema_db, telegram_bot",3,0,7,utils,0,True,False,False,False,
billing/report_parking_time_with_hints.py,494,report_export,70,report/export/billing filename,"access_control, parking_time, schema_db, telegram_bot",11,0,8,,0,True,False,False,False,
billing_reconciliation_report.py,396,report_export,70,report/export/billing filename,"access_control, cashier, parking_time, schema_db",18,0,7,,0,True,True,False,False,
billing_statement_excel.py,551,report_export,70,report/export/billing filename,"access_control, cashier, parking_time, schema_db",20,0,17,,0,True,True,False,False,
Bots/data_park_bot.py,155,runtime_or_cli_entrypoint,78,contains main/argparse/telegram application hint,"parking_time, remote, schema_db, telegram_bot",4,0,7,,0,True,False,True,True,
Bots/db_access - Copy.py,4914,legacy_or_backup,90,historical/copy/date-stamped/foundation package,"access_control, cashier, parking_time, remote, schema_db, telegram_bot",147,0,7,,0,False,False,False,False,
Bots/db_access.py,6012,source_module,40,regular source module candidate,"access_control, cashier, parking_time, remote, schema_db, telegram_bot",174,0,8,unit_resolver,228,False,False,False,False,
Bots/handlers/__init___.py,1,bot_handler,88,telegram handler/workspace module,,0,0,0,,0,False,False,False,False,
Bots/handlers/agreement - Copy.py,542,legacy_or_backup,90,historical/copy/date-stamped/foundation package,"access_control, parking_time, schema_db, telegram_bot",17,0,23,Bots.db_access,0,False,False,False,True,
Bots/handlers/agreement.py,542,bot_handler,88,telegram handler/workspace module,"access_control, parking_time, schema_db, telegram_bot",17,0,23,Bots.db_access,54,False,False,False,True,
Bots/handlers/audit_viewer - Copy.py,231,legacy_or_backup,90,historical/copy/date-stamped/foundation package,"schema_db, telegram_bot",13,0,7,,0,False,False,False,True,
Bots/handlers/audit_viewer.py,366,bot_handler,88,telegram handler/workspace module,"schema_db, telegram_bot",15,0,9,,6,False,False,False,True,
Bots/handlers/cashier_operator.py,2427,bot_handler,88,telegram handler/workspace module,"access_control, cashier, parking_time, schema_db, telegram_bot",61,0,16,"audit_logger, unit_resolver",1,False,False,False,True,
Bots/handlers/cashier_operator_v2.py,1098,bot_handler,88,telegram handler/workspace module,"cashier, parking_time, remote, schema_db, telegram_bot",29,0,36,cashier_v2_core,0,False,False,False,True,
Bots/handlers/client_portal.py,2184,bot_handler,88,telegram handler/workspace module,"access_control, cashier, parking_time, remote, schema_db, telegram_bot",60,0,12,audit_logger,12,False,False,False,True,
Bots/handlers/client_portal_safe_linking.py,2184,bot_handler,88,telegram handler/workspace module,"access_control, cashier, parking_time, remote, schema_db, telegram_bot",60,0,12,audit_logger,0,False,False,False,True,
Bots/handlers/client_portal_v2.py,666,bot_handler,88,telegram handler/workspace module,"access_control, cashier, parking_time, remote, telegram_bot",19,0,18,cashier_v2_core,0,False,False,False,True,
Bots/handlers/client_portal_v3.py,97,bot_handler,88,telegram handler/workspace module,"access_control, cashier, remote, service_orders, telegram_bot",3,0,5,,0,False,False,False,True,
Bots/handlers/commercial_contract_editor.py,1582,bot_handler,88,telegram handler/workspace module,"access_control, cashier, parking_time, schema_db, telegram_bot",55,0,15,audit_logger,4,False,False,False,True,
Bots/handlers/guard_workspace.py,1151,bot_handler,88,telegram handler/workspace module,"access_control, cashier, parking_time, remote, schema_db, telegram_bot",29,0,27,"access_control, cashier_v2_core",0,False,False,False,True,
Bots/handlers/guard_workspace_before_default_cash_note_2026-06-26_16-25-02.py,1141,legacy_or_backup,90,historical/copy/date-stamped/foundation package,"access_control, cashier, parking_time, remote, schema_db, telegram_bot",29,0,27,"access_control, cashier_v2_core",0,False,False,False,True,
Bots/handlers/guard_workspace_before_direct_notice_confirm_2026-06-26_18-28-39.py,1144,legacy_or_backup,90,historical/copy/date-stamped/foundation package,"access_control, cashier, parking_time, remote, schema_db, telegram_bot",29,0,27,"access_control, cashier_v2_core",0,False,False,False,True,
Bots/handlers/profile_parking_time_test_workspace.py,365,bot_handler,88,telegram handler/workspace module,"parking_time, service_orders, telegram_bot",9,0,20,"profile_parking_time_test_core, service_orders_core",0,False,False,False,True,
Bots/handlers/profile_verification_workspace.py,768,bot_handler,88,telegram handler/workspace module,"access_control, parking_time, schema_db, service_orders, telegram_bot",19,0,23,"profile_verification_core, service_orders_core",0,False,False,False,True,
Bots/handlers/service_orders_workspace.py,1743,bot_handler,88,telegram handler/workspace module,"access_control, cashier, parking_time, remote, schema_db, service_orders, telegram_bot",58,0,48,"access_control, cashier_v2_core, phone_barrier_access_core, phone_barrier_access_service, profile_verification_core, service_orders_core, service_preorders_core",0,False,False,False,True,
Bots/handlers/unit_registry_editor - Copy.py,1036,legacy_or_backup,90,historical/copy/date-stamped/foundation package,"access_control, schema_db, telegram_bot",35,0,17,"Bots.db_access, audit_logger",0,False,False,False,True,
Bots/handlers/unit_registry_editor.py,1077,bot_handler,88,telegram handler/workspace module,"access_control, schema_db, telegram_bot",35,0,17,"Bots.db_access, audit_logger",7,False,False,False,True,
Bots/handlers/vehicle_card_editor.py,595,bot_handler,88,telegram handler/workspace module,"parking_time, schema_db, telegram_bot",23,0,9,audit_logger,6,False,False,False,True,
Bots/handlers/vehicle_full_list.py,127,bot_handler,88,telegram handler/workspace module,"parking_time, schema_db, telegram_bot",8,0,7,,6,False,False,False,True,
Bots/handlers/vehicle_verification.py,519,bot_handler,88,telegram handler/workspace module,"cashier, schema_db, telegram_bot",28,0,12,plate_consensus_report,6,False,False,False,True,
Bots/hello.py,72,runtime_or_cli_entrypoint,78,contains main/argparse/telegram application hint,"parking_time, remote, telegram_bot",3,0,8,,0,True,False,True,True,
Bots/parking_bot - Copy.py,1301,legacy_or_backup,90,historical/copy/date-stamped/foundation package,"access_control, parking_time, remote, schema_db, telegram_bot",27,0,56,"Bots.db_access, Bots.handlers.agreement",0,True,False,True,True,
Bots/parking_bot.py,1359,runtime_or_cli_entrypoint,78,contains main/argparse/telegram application hint,"access_control, cashier, parking_time, remote, schema_db, telegram_bot",27,0,61,"Bots.db_access, Bots.handlers.agreement",0,True,False,True,True,
