table,path,line,context,exists_in_db
__future__,access_control.py,16,from __future__ import annotations,False
datetime,access_control.py,20,from datetime import datetime,False
pathlib,access_control.py,21,from pathlib import Path,False
typing,access_control.py,22,from typing import Any,False
config,access_control.py,29,"from config import paths, USE_TEST_DB",False
audit_log,access_control.py,32,from audit_logger import audit_log,True
audit_logger,access_control.py,32,from audit_logger import audit_log,False
audit_log,access_control.py,34,audit_log = None,True
sqlite_master,access_control.py,72,"""SELECT 1 FROM sqlite_master WHERE type='table' AND name=?"",",False
audit_log,access_control.py,89,"""access_audit_log"",",True
access_user_permissions,access_control.py,131,FROM access_user_permissions,False
access_user_roles,access_control.py,159,FROM access_user_roles ur,False
access_roles,access_control.py,160,JOIN access_roles r,False
access_role_permissions,access_control.py,163,JOIN access_role_permissions rp,False
access_user_roles,access_control.py,274,FROM access_user_roles ur,False
access_roles,access_control.py,275,LEFT JOIN access_roles r ON r.role_code = ur.role_code,False
access_audit_log,access_control.py,324,INSERT INTO access_audit_log (,False
audit_log,access_control.py,324,INSERT INTO access_audit_log (,True
audit_log,access_control.py,363,operator_audit_log. Caller controls transaction commit.,True
operator_audit_log,access_control.py,363,operator_audit_log. Caller controls transaction commit.,True
audit_log,access_control.py,378,if audit_log:,True
audit_log,access_control.py,379,audit_log(,True
apartments,audit_composite_apartments.py,1,# audit_composite_apartments.py,True
pathlib,audit_composite_apartments.py,3,from pathlib import Path,False
config,audit_composite_apartments.py,13,from config import paths,False
apartments,audit_composite_apartments.py,30,def get_main_apartments():,True
apartments,audit_composite_apartments.py,36,FROM apartments,True
tbot_parking_import,audit_composite_apartments.py,60,FROM tbot_parking_import,True
apartments,audit_composite_apartments.py,85,def split_apartments(apartment_number):,True
apartments,audit_composite_apartments.py,99,main_apartments = set(get_main_apartments()),True
apartments,audit_composite_apartments.py,124,"print(""No composite apartments found."")",True
apartments,audit_composite_apartments.py,148,parts = split_apartments(apartment_number),True
apartments,audit_composite_apartments.py,153,"main_apartments,",True
pathlib,audit_logger.py,1,from pathlib import Path,False
datetime,audit_logger.py,4,from datetime import datetime,False
config,audit_logger.py,14,"from config import paths, USE_TEST_DB",False
sqlite_master,audit_logger.py,31,"cur.execute(""SELECT name FROM sqlite_master WHERE type='table' AND name=?"", (table_name,))",False
audit_log,audit_logger.py,48,def ensure_audit_log(conn):,True
IF,audit_logger.py,52,CREATE TABLE IF NOT EXISTS operator_audit_log (,False
audit_log,audit_logger.py,52,CREATE TABLE IF NOT EXISTS operator_audit_log (,True
operator_audit_log,audit_logger.py,52,CREATE TABLE IF NOT EXISTS operator_audit_log (,True
audit_log,audit_logger.py,102,"if add_column_if_missing(cur, ""operator_audit_log"", col, col_def):",True
operator_audit_log,audit_logger.py,102,"if add_column_if_missing(cur, ""operator_audit_log"", col, col_def):",True
audit_log,audit_logger.py,105,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_created ON operator_audit_log(created_at)"")",True
operator_audit_log,audit_logger.py,105,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_created ON operator_audit_log(created_at)"")",True
audit_log,audit_logger.py,106,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_operator ON operator_audit_log(operator_id)"")",True
operator_audit_log,audit_logger.py,106,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_operator ON operator_audit_log(operator_id)"")",True
audit_log,audit_logger.py,107,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_user ON operator_audit_log(user_id)"")",True
operator_audit_log,audit_logger.py,107,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_user ON operator_audit_log(user_id)"")",True
audit_log,audit_logger.py,108,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_actor ON operator_audit_log(actor_type)"")",True
operator_audit_log,audit_logger.py,108,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_actor ON operator_audit_log(actor_type)"")",True
audit_log,audit_logger.py,109,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_action ON operator_audit_log(action_type)"")",True
operator_audit_log,audit_logger.py,109,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_action ON operator_audit_log(action_type)"")",True
audit_log,audit_logger.py,110,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_table_row ON operator_audit_log(table_name, row_id)"")",True
operator_audit_log,audit_logger.py,110,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_table_row ON operator_audit_log(table_name, row_id)"")",True
audit_log,audit_logger.py,111,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_review ON operator_audit_log(review_status)"")",True
operator_audit_log,audit_logger.py,111,"cur.execute(""CREATE INDEX IF NOT EXISTS idx_operator_audit_review ON operator_audit_log(review_status)"")",True
audit_log,audit_logger.py,116,def audit_log(,True
audit_log,audit_logger.py,145,ensure_audit_log(conn),True
audit_log,audit_logger.py,168,"cols = table_columns(cur, ""operator_audit_log"")",True
operator_audit_log,audit_logger.py,168,"cols = table_columns(cur, ""operator_audit_log"")",True
audit_log,audit_logger.py,173,"f""INSERT INTO operator_audit_log ({', '.join(insert_cols)}) VALUES ({placeholders})"",",True
operator_audit_log,audit_logger.py,173,"f""INSERT INTO operator_audit_log ({', '.join(insert_cols)}) VALUES ({placeholders})"",",True
audit_log,audit_logger.py,204,return audit_log(,True
audit_log,audit_logger.py,232,return audit_log(,True
audit_log,audit_logger.py,255,audit_id = audit_log(,True
audit_log,audit_logger.py,260,"action_type=""audit_logger_self_test"",",True
audit_log,audit_logger.py,261,"table_name=""operator_audit_log"",",True
operator_audit_log,audit_logger.py,261,"table_name=""operator_audit_log"",",True
audit_log,audit_logger.py,266,"source_context=""audit_logger.py self-test"",",True
audit_log,audit_logger.py,268,"extra={""module"": ""audit_logger.py""},",True
audit_log,audit_logger.py,291,"print(""audit_logger.py is a helper module."")",True
pathlib,audit_osbb_telegram_messages.py,1,from pathlib import Path,False
datetime,audit_osbb_telegram_messages.py,5,from datetime import datetime,False
config,audit_osbb_telegram_messages.py,13,from config import paths,False
telegram_chats,audit_osbb_telegram_messages.py,84,FROM telegram_chats,False
telegram_messages,audit_osbb_telegram_messages.py,91,FROM telegram_messages,False
telegram_messages,audit_osbb_telegram_messages.py,104,FROM telegram_messages,False
apartments,audit_osbb_telegram_messages.py,109,apartments = set(),True
apartments,audit_osbb_telegram_messages.py,122,apartments.add(m.group(1)),True
apartments,audit_osbb_telegram_messages.py,153,"lines.append(f""Apartments found : {len(apartments)}"")",True
apartments,audit_osbb_telegram_messages.py,158,"lines.append(""Apartments:"")",True
apartments,audit_osbb_telegram_messages.py,159,"lines.append("", "".join(sorted(apartments)[:200]))",True
pathlib,audit_registry.py,1,from pathlib import Path,False
datetime,audit_registry.py,4,from datetime import datetime,False
config,audit_registry.py,12,from config import paths,False
apartments,audit_registry.py,62,"""apartments"",",True
persons,audit_registry.py,63,"""persons"",",True
vehicles,audit_registry.py,64,"""vehicles"",",True
contact_methods,audit_registry.py,65,"""contact_methods"",",True
audit_log,audit_registry.py,68,"""audit_log"",",True
in,audit_registry.py,74,for table in tables:,False
not,audit_registry.py,80,"report.add(f""{table:20}: table not found"")",False
apartments,audit_registry.py,82,"report.section(""APARTMENTS BY SOURCE"")",True
apartments,audit_registry.py,88,FROM apartments,True
PAPER,audit_registry.py,97,"report.section(""APARTMENTS CREATED FROM PAPER PARKING"")",False
apartments,audit_registry.py,97,"report.section(""APARTMENTS CREATED FROM PAPER PARKING"")",True
apartments,audit_registry.py,103,FROM apartments,True
apartments,audit_registry.py,118,"report.section(""APARTMENTS WITHOUT PERSONS"")",True
persons,audit_registry.py,118,"report.section(""APARTMENTS WITHOUT PERSONS"")",True
apartments,audit_registry.py,124,FROM apartments a,True
persons,audit_registry.py,125,LEFT JOIN persons p ON p.apartment_id = a.id,True
apartments,audit_registry.py,136,"report.section(""APARTMENTS WITH MULTIPLE PERSON RECORDS"")",True
persons,audit_registry.py,141,"SELECT a.apartment_number, COUNT(p.id) AS persons_count",True
apartments,audit_registry.py,142,FROM apartments a,True
persons,audit_registry.py,143,JOIN persons p ON p.apartment_id = a.id,True
persons,audit_registry.py,146,"ORDER BY persons_count DESC, a.apartment_number",True
persons,audit_registry.py,153,"report.add(f""{apartment_number:10} persons={count}"")",True
vehicles,audit_registry.py,155,"report.section(""VEHICLES WITHOUT LICENSE PLATE"")",True
vehicles,audit_registry.py,161,FROM vehicles v,True
apartments,audit_registry.py,162,JOIN apartments a ON a.id = v.apartment_id,True
vehicles,audit_registry.py,173,"report.section(""VEHICLES WITHOUT CAR MODEL"")",True
vehicles,audit_registry.py,179,FROM vehicles v,True
apartments,audit_registry.py,180,JOIN apartments a ON a.id = v.apartment_id,True
vehicles,audit_registry.py,197,FROM vehicles,True
vehicles,audit_registry.py,214,FROM vehicles v,True
apartments,audit_registry.py,215,JOIN apartments a ON a.id = v.apartment_id,True
apartments,audit_registry.py,234,FROM apartments,True
pathlib,audit_tbot_quarantine.py,1,from pathlib import Path,False
datetime,audit_tbot_quarantine.py,4,from datetime import datetime,False
config,audit_tbot_quarantine.py,12,from config import paths,False
utils,audit_tbot_quarantine.py,13,"from utils import norm_text, norm_apartment",False
apartments,audit_tbot_quarantine.py,62,FROM apartments a,True
persons,audit_tbot_quarantine.py,63,LEFT JOIN persons p ON p.apartment_id = a.id,True
vehicles,audit_tbot_quarantine.py,64,LEFT JOIN vehicles v ON v.apartment_id = a.id,True
tbot_parking_import,audit_tbot_quarantine.py,135,FROM tbot_parking_import,True
apartments,audit_tbot_quarantine.py,232,"report.add(f""Main apartments        : {len(main_apts)}"")",True
apartments,audit_tbot_quarantine.py,233,"report.add(f""TBot apartments        : {len(tbot_apts)}"")",True
apartments,audit_tbot_quarantine.py,238,"report.section(""APARTMENTS ONLY IN TBOT"")",True
