path,lines,category,has_debt_words,has_creation_words,debt_lines,creation_lines
access_control.py,400,module,False,False,0,0
audit_composite_apartments.py,178,module,False,False,0,0
audit_osbb_telegram_messages.py,201,module,False,False,0,0
audit_tbot_quarantine.py,469,module,False,False,0,0
billing/report_parking_time_review_tasks.py,233,module,False,False,0,0
billing/report_parking_time_with_hints.py,494,module,False,False,0,0
billing_reconciliation_report.py,396,module,True,False,58,0
billing_statement_excel.py,551,module,True,False,72,0
Bots/data_park_bot.py,155,module,False,False,0,0
Bots/db_access - Copy.py,4914,legacy,False,False,0,0
Bots/db_access.py,6012,module,False,False,0,0
Bots/handlers/agreement - Copy.py,542,legacy,False,False,0,0
Bots/handlers/agreement.py,542,handler,False,False,0,0
Bots/handlers/cashier_operator.py,2427,handler,True,False,106,0
Bots/handlers/cashier_operator_v2.py,1098,handler,True,False,30,0
Bots/handlers/client_portal.py,2184,handler,True,True,67,20
Bots/handlers/client_portal_safe_linking.py,2184,handler,True,True,67,20
Bots/handlers/client_portal_v2.py,666,handler,True,True,18,2
Bots/handlers/client_portal_v3.py,97,handler,False,True,0,2
Bots/handlers/commercial_contract_editor.py,1582,handler,True,False,36,0
Bots/handlers/guard_workspace.py,1151,handler,True,True,9,16
Bots/handlers/guard_workspace_before_default_cash_note_2026-06-26_16-25-02.py,1141,legacy,True,True,9,16
Bots/handlers/guard_workspace_before_direct_notice_confirm_2026-06-26_18-28-39.py,1144,legacy,True,True,9,16
Bots/handlers/profile_parking_time_test_workspace.py,365,handler,False,True,0,1
Bots/handlers/profile_verification_workspace.py,768,handler,False,True,0,1
Bots/handlers/service_orders_workspace.py,1743,handler,True,True,87,38
Bots/handlers/unit_registry_editor - Copy.py,1036,legacy,True,False,1,0
Bots/handlers/unit_registry_editor.py,1077,handler,True,False,1,0
Bots/hello.py,72,module,False,False,0,0
Bots/parking_bot - Copy.py,1301,legacy,True,False,1,0
Bots/parking_bot.py,1359,module,True,False,1,0
Bots/parking_bot_before_cashier_editor_2026-06-25_14-45-08.py,1343,legacy,True,False,1,0
Bots/parking_bot_before_client_portal_2026-06-25_10-25-49.py,1310,legacy,True,False,1,0
Bots/parking_bot_before_language_gate_fix_2026-06-25_10-45-39.py,1342,legacy,True,False,1,0
Bots/parking_bot_before_launch_queues_menu_2026-06-25_12-21-29.py,1342,legacy,True,False,1,0
build_plate_evidence_by_digits_and_apartment.py,343,module,False,False,0,0
build_plate_evidence_from_telegram.py,175,module,False,False,0,0
cashier_journal.py,1731,module,True,False,60,0
