path,line,kind,context
access_control.py,324,remote_write,INSERT INTO access_audit_log (
billing_reconciliation_report.py,157,debt_check,"allocations_table = pick_table(cur, ""payment_allocations"", ""service_payment_allocations"")"
billing_reconciliation_report.py,175,debt_check,unpaid_charges = []
billing_reconciliation_report.py,198,debt_check,unpaid_charges.append(item)
billing_reconciliation_report.py,233,debt_check,"""unpaid_charges"": unpaid_charges,"
billing_reconciliation_report.py,317,debt_check,"lines.append(f""Charges count              : {len(data['charges'])}"")"
billing_reconciliation_report.py,327,debt_check,"lines.append(f""Unpaid charges             : {len(data['unpaid_charges'])}"")"
billing_reconciliation_report.py,337,debt_check,"write_section(lines, ""3. UNPAID_CHARGES — начисления без оплаты"", data[""unpaid_charges""], format_charge_line)"
billing_reconciliation_report.py,384,debt_check,"print(""Unpaid charges:"", len(data[""unpaid_charges""]))"
billing_statement_excel.py,144,debt_check,"allocations_table = pick_table(cur, ""payment_allocations"", ""service_payment_allocations"")"
billing_statement_excel.py,321,debt_check,"status = ""ДОЛГ"""
billing_statement_excel.py,356,debt_check,# Debtors
billing_statement_excel.py,358,debt_check,"ws.append([""Квартира"", ""Долг"", ""Начислено"", ""Оплачено"", ""Авто/начисления""])"
billing_statement_excel.py,360,debt_check,debtors = [
billing_statement_excel.py,364,debt_check,"for item in sorted(debtors, key=lambda x: (-x[""balance""], apt_sort_key(x[""apt""]))):"
billing_statement_excel.py,375,debt_check,"add_table(ws, ""Debtors"")"
billing_statement_excel.py,400,debt_check,"""Услуга"", ""Начислено"", ""Распределено"", ""Остаток"""
billing_statement_excel.py,460,debt_check,"""payment_id"", ""Дата"", ""Квартира"", ""Номер"", ""Оплачено"", ""Распределено"", ""Остаток"", ""Источник"", ""Комментарий"""
Bots/handlers/cashier_operator.py,947,debt_check,"if not table_exists(cur, ""payment_allocations""):"
Bots/handlers/cashier_operator.py,949,debt_check,"cols = table_columns(cur, ""payment_allocations"")"
Bots/handlers/cashier_operator.py,951,debt_check,"""allocated_amount"" if ""allocated_amount"" in cols else None"
Bots/handlers/cashier_operator.py,957,debt_check,"f""FROM payment_allocations WHERE payment_id = ?"","
Bots/handlers/cashier_operator.py,971,debt_check,def receipt_unallocated_amount(receipt: dict) -> float:
Bots/handlers/cashier_operator.py,996,debt_check,"if not table_exists(cur, ""charges"") or not table_exists(cur, ""payment_allocations""):"
Bots/handlers/cashier_operator.py,1000,debt_check,"acols = table_columns(cur, ""payment_allocations"")"
Bots/handlers/cashier_operator.py,1002,debt_check,"""allocated_amount"" if ""allocated_amount"" in acols else None"
Bots/handlers/cashier_operator.py,1050,debt_check,"COALESCE(SUM(pa.{q(acol)}), 0) AS allocated_amount"
Bots/handlers/cashier_operator.py,1051,debt_check,FROM charges c
