cid,name,type,notnull,default_value,pk,references_in_code,read_contexts,write_contexts
0,id,INTEGER,0,,1,32,27,5
1,service_code,TEXT,1,,0,555,536,12
2,service_group,TEXT,1,,0,5,3,1
3,service_name,TEXT,1,,0,64,64,0
4,unit,TEXT,1,,0,3,2,1
5,is_active,INTEGER,1,1,0,368,314,53
6,comment,TEXT,0,,0,4,4,0
7,created_at,TEXT,0,CURRENT_TIMESTAMP,0,38,6,32
8,updated_at,TEXT,0,CURRENT_TIMESTAMP,0,46,0,46
9,service_type,TEXT,0,,0,168,164,3
10,category,TEXT,0,,0,163,162,1
11,is_monthly,INTEGER,1,0,0,3,3,0
12,is_fundraising,INTEGER,1,0,0,3,3,0
13,is_commercial,INTEGER,1,0,0,3,3,0
14,is_access_control,INTEGER,1,0,0,21,21,0
15,is_cash_collectable,INTEGER,1,1,0,26,26,0
