path,line,kind,symbol,context
access_control.py,135,COLUMN_READ_OR_MENTION,is_active,AND is_active = 1
access_control.py,162,COLUMN_READ_OR_MENTION,is_active,AND r.is_active = 1
access_control.py,165,COLUMN_READ_OR_MENTION,is_active,AND rp.is_active = 1
access_control.py,167,COLUMN_READ_OR_MENTION,is_active,AND ur.is_active = 1
access_control.py,272,COLUMN_READ_OR_MENTION,is_active,"ur.valid_from, ur.valid_to, ur.is_active,"
access_control.py,277,COLUMN_READ_OR_MENTION,is_active,"ORDER BY ur.is_active DESC, ur.role_code, ur.scope_type, ur.scope_value"
billing_reconciliation_report.py,54,OTHER,PARKING_DAY,"""PARKING_DAY"": ""Парковка Day"","
billing_reconciliation_report.py,55,OTHER,PARKING_NIGHT,"""PARKING_NIGHT"": ""Парковка Night"","
billing_reconciliation_report.py,57,OTHER,IMPROVEMENT,"""IMPROVEMENT"": ""Благоустройство"","
billing_reconciliation_report.py,74,COLUMN_READ_OR_MENTION,service_code,"c.service_code,"
billing_reconciliation_report.py,101,COLUMN_READ_OR_MENTION,service_code,"service_expr = ""p.service_code"" if ""service_code"" in columns else ""NULL"""
billing_reconciliation_report.py,119,COLUMN_READ_OR_MENTION,service_code,"{service_expr} AS service_code,"
billing_reconciliation_report.py,245,COLUMN_READ_OR_MENTION,service_code,"f""{service_label(c.get('service_code'))} | plate={c.get('plate') or '-'} | """
billing_reconciliation_report.py,255,COLUMN_READ_OR_MENTION,service_code,"f""service={service_label(p.get('service_code'))} | plate={p.get('plate') or '-'} | """
billing_statement_excel.py,65,OTHER,PARKING_DAY,"""PARKING_DAY"": ""Day"","
billing_statement_excel.py,66,OTHER,PARKING_NIGHT,"""PARKING_NIGHT"": ""Night"","
billing_statement_excel.py,68,OTHER,IMPROVEMENT,"""IMPROVEMENT"": ""Благоустройство"","
billing_statement_excel.py,88,COLUMN_READ_OR_MENTION,service_code,"c.service_code,"
billing_statement_excel.py,126,COLUMN_READ_OR_MENTION,service_code,"{expr('service_code')} AS service_code,"
billing_statement_excel.py,331,COLUMN_READ_OR_MENTION,service_code,"f""{service_label(ch.get('service_code'))}: {money(ch.get('amount'))}"""
billing_statement_excel.py,371,COLUMN_READ_OR_MENTION,service_code,"f""{ch.get('plate') or '-'} {service_label(ch.get('service_code'))}: {money(ch.get('amount'))}"""
billing_statement_excel.py,417,COLUMN_READ_OR_MENTION,service_code,"service_label(ch[""service_code""]),"
billing_statement_excel.py,447,COLUMN_READ_OR_MENTION,service_code,"service_label(p[""service_code""]),"
cashier_journal.py,22,OTHER,"BARRIER_PHONE, IMPROVEMENT, PARKING_DAY, PARKING_NIGHT","#   PARKING_DAY, PARKING_NIGHT, BARRIER_PHONE, IMPROVEMENT ..."
cashier_journal.py,32,OTHER,PARKING_DAY,"""PARKING_DAY"": {"
cashier_journal.py,35,COLUMN_READ_OR_MENTION,category,"""category"": ""PARKING"","
cashier_journal.py,42,OTHER,PARKING_NIGHT,"""PARKING_NIGHT"": {"
cashier_journal.py,45,COLUMN_READ_OR_MENTION,category,"""category"": ""PARKING"","
cashier_journal.py,52,OTHER,BARRIER_PHONE,"""BARRIER_PHONE"": {"
cashier_journal.py,55,COLUMN_READ_OR_MENTION,category,"""category"": ""ACCESS"","
cashier_journal.py,62,OTHER,"BARRIER_PHONE, BARRIER_PHONE_CONNECT","""BARRIER_PHONE_CONNECT"": {"
cashier_journal.py,65,COLUMN_READ_OR_MENTION,category,"""category"": ""ACCESS"","
cashier_journal.py,72,OTHER,IMPROVEMENT,"""IMPROVEMENT"": {"
cashier_journal.py,75,COLUMN_READ_OR_MENTION,"IMPROVEMENT, category","""category"": ""IMPROVEMENT"","
cashier_journal.py,82,OTHER,PARKING_EQUIPMENT,"""PARKING_EQUIPMENT"": {"
cashier_journal.py,85,COLUMN_READ_OR_MENTION,category,"""category"": ""EQUIPMENT"","
cashier_journal.py,92,OTHER,BARRIER_REPAIR,"""BARRIER_REPAIR"": {"
cashier_journal.py,95,COLUMN_READ_OR_MENTION,category,"""category"": ""BARRIER"","
cashier_journal.py,102,OTHER,GUEST_PARKING,"""GUEST_PARKING"": {"
cashier_journal.py,105,COLUMN_READ_OR_MENTION,category,"""category"": ""PARKING"","
cashier_journal.py,112,OTHER,PARK_PLACE_RENT,"""PARK_PLACE_RENT"": {"
cashier_journal.py,115,COLUMN_READ_OR_MENTION,category,"""category"": ""PARKING_ASSET"","
cashier_journal.py,122,OTHER,PARK_PLACE_SALE,"""PARK_PLACE_SALE"": {"
cashier_journal.py,125,COLUMN_READ_OR_MENTION,category,"""category"": ""PARKING_ASSET"","
cashier_journal.py,132,OTHER,HISTORICAL_UNCLASSIFIED,"""HISTORICAL_UNCLASSIFIED"": {"
cashier_journal.py,135,COLUMN_READ_OR_MENTION,category,"""category"": ""HISTORICAL"","
cashier_journal.py,145,COLUMN_READ_OR_MENTION,category,"""category"": ""CASHIER"","
cashier_journal.py,155,COLUMN_READ_OR_MENTION,category,"""category"": ""CASHIER"","
cashier_journal.py,169,OTHER,PARKING_DAY,"""PARKING_DAY"": ""PARKING_DAY"","
cashier_journal.py,170,OTHER,PARKING_DAY,"""DAY"": ""PARKING_DAY"","
cashier_journal.py,171,OTHER,PARKING_DAY,"""ДЕНЬ"": ""PARKING_DAY"","
cashier_journal.py,172,OTHER,PARKING_NIGHT,"""PARKING_NIGHT"": ""PARKING_NIGHT"","
cashier_journal.py,173,OTHER,PARKING_NIGHT,"""NIGHT"": ""PARKING_NIGHT"","
cashier_journal.py,174,OTHER,PARKING_NIGHT,"""НОЧЬ"": ""PARKING_NIGHT"","
cashier_journal.py,175,OTHER,PARKING_NIGHT,"""СУТКИ"": ""PARKING_NIGHT"","
cashier_journal.py,176,OTHER,BARRIER_REPAIR,"""Ш"": ""BARRIER_REPAIR"","
cashier_journal.py,177,OTHER,BARRIER_REPAIR,"""ШЛАГБАУМ"": ""BARRIER_REPAIR"","
cashier_journal.py,178,OTHER,BARRIER_REPAIR,"""BARRIER_REPAIR"": ""BARRIER_REPAIR"","
cashier_journal.py,179,OTHER,BARRIER_REPAIR,"""РЕМОНТ_ШЛАГБАУМА"": ""BARRIER_REPAIR"","
cashier_journal.py,180,OTHER,BARRIER_PHONE,"""BARRIER_PHONE"": ""BARRIER_PHONE"","
cashier_journal.py,181,OTHER,BARRIER_PHONE,"""ТЕЛЕФОН"": ""BARRIER_PHONE"","
cashier_journal.py,182,OTHER,BARRIER_PHONE,"""ТЕЛЕФОННЫЙ_ДОСТУП"": ""BARRIER_PHONE"","
cashier_journal.py,183,OTHER,"BARRIER_PHONE, BARRIER_PHONE_CONNECT","""BARRIER_PHONE_CONNECT"": ""BARRIER_PHONE_CONNECT"","
cashier_journal.py,184,OTHER,"BARRIER_PHONE, BARRIER_PHONE_CONNECT","""ПОДКЛЮЧЕНИЕ_ТЕЛЕФОНА"": ""BARRIER_PHONE_CONNECT"","
cashier_journal.py,185,OTHER,"BARRIER_PHONE, BARRIER_PHONE_CONNECT","""ПОДКЛЮЧЕНИЕ_ШЛАГБАУМА"": ""BARRIER_PHONE_CONNECT"","
cashier_journal.py,186,OTHER,"BARRIER_PHONE, BARRIER_PHONE_CONNECT","""ПОВТОРНОЕ_ПОДКЛЮЧЕНИЕ"": ""BARRIER_PHONE_CONNECT"","
cashier_journal.py,187,OTHER,IMPROVEMENT,"""Б"": ""IMPROVEMENT"","
cashier_journal.py,188,OTHER,IMPROVEMENT,"""БЛАГОУСТРОЙСТВО"": ""IMPROVEMENT"","
cashier_journal.py,189,OTHER,IMPROVEMENT,"""БЛАГОУСТРІЙ"": ""IMPROVEMENT"","
cashier_journal.py,190,OTHER,IMPROVEMENT,"""IMPROVEMENT"": ""IMPROVEMENT"","
cashier_journal.py,191,OTHER,PARKING_EQUIPMENT,"""PARKING_EQUIPMENT"": ""PARKING_EQUIPMENT"","
cashier_journal.py,192,OTHER,PARKING_EQUIPMENT,"""ОБОРУДОВАНИЕ_ПАРКОВКИ"": ""PARKING_EQUIPMENT"","
cashier_journal.py,193,OTHER,GUEST_PARKING,"""GUEST_PARKING"": ""GUEST_PARKING"","
