================================================================================
📌 ТАБЛИЦА: barrier_phone_access
================================================================================
📊 Строк: 0
================================================================================

📐 СТРУКТУРА КОЛОНОК
--------------------------------------------------------------------------------
#      Имя                            Тип                  NOT NULL     PK   
--------------------------------------------------------------------------------
0      id                             INTEGER              ❌            ✅    
1      apartment_number               TEXT                 ❌                 
2      contact_id                     INTEGER              ❌                 
3      phone_number                   TEXT                 ❌                 
4      access_status                  TEXT                 ✅                 
5      status_reason                  TEXT                 ❌                 
6      blocked_by                     TEXT                 ❌                 
7      blocked_at                     TEXT                 ❌                 
8      unblocked_by                   TEXT                 ❌                 
9      unblocked_at                   TEXT                 ❌                 
10     debt_amount                    REAL                 ❌                 
11     comment                        TEXT                 ❌                 
12     created_at                     TEXT                 ✅                 
13     updated_at                     TEXT                 ❌                 
14     service_order_id               INTEGER              ❌                 
