================================================================================
📌 ТАБЛИЦА: cashier_batch_items
================================================================================
📊 Строк: 0
================================================================================

📐 СТРУКТУРА КОЛОНОК
--------------------------------------------------------------------------------
#      Имя                            Тип                  NOT NULL     PK   
--------------------------------------------------------------------------------
0      id                             INTEGER              ❌            ✅    
1      batch_id                       INTEGER              ✅                 
2      apartment_id                   INTEGER              ❌                 
3      apartment_number               TEXT                 ✅                 
4      charge_id                      INTEGER              ❌                 
5      receipt_id                     INTEGER              ❌                 
6      payment_id                     INTEGER              ❌                 
7      amount_expected                REAL                 ❌                 
8      amount_received                REAL                 ✅                 
9      cashbox_code                   TEXT                 ❌                 
10     period_code                    TEXT                 ❌                 
11     service_code                   TEXT                 ❌                 
12     service_item_code              TEXT                 ❌                 
13     item_status                    TEXT                 ✅                 
14     exception_note                 TEXT                 ❌                 
15     created_at                     TEXT                 ✅                 
16     updated_at                     TEXT                 ❌                 
