================================================================================
📌 ТАБЛИЦА: commercial_access_phones
================================================================================
📊 Строк: 0
================================================================================

📐 СТРУКТУРА КОЛОНОК
--------------------------------------------------------------------------------
#      Имя                            Тип                  NOT NULL     PK   
--------------------------------------------------------------------------------
0      id                             INTEGER              ❌            ✅    
1      contract_id                    INTEGER              ✅                 
2      phone_normalized               TEXT                 ✅                 
3      phone_display                  TEXT                 ❌                 
4      access_purpose                 TEXT                 ✅                 
5      status                         TEXT                 ✅                 
6      status_reason                  TEXT                 ❌                 
7      status_changed_at              TEXT                 ❌                 
8      note                           TEXT                 ❌                 
9      created_at                     TEXT                 ✅                 
10     updated_at                     TEXT                 ❌                 
