"Path","Status"
"C:\Program Files\Python313\Scripts\","Valid"
"C:\Program Files\Python313\","Valid"
"C:\Program Files\Python313\Scripts\","Valid"
"C:\Program Files\Python313\","Valid"
"C:\Program Files\Python313\Scripts\","Valid"
"C:\Program Files\Python313\","Valid"
"C:\Program Files\Python313\Scripts\","Valid"
"C:\Program Files\Python313\","Valid"
"C:\Program Files\R\R-4.4.2\bin","Valid"
"C:\WINDOWS\system32","Valid"
"C:\WINDOWS","Valid"
"C:\WINDOWS\System32\Wbem","Valid"
"C:\WINDOWS\System32\WindowsPowerShell\v1.0\","Valid"
"C:\WINDOWS\System32\OpenSSH\","Valid"
"C:\Program Files\Git\cmd","Valid"
"C:\ffmpeg\bin","Valid"
"C:\Users\first\AppData\Local\Programs\Microsoft VS Code\bin","Valid"
"C:\Users\first\AppData\Local\Microsoft\WindowsApps","Valid"
"C:\Python","Valid"
"C:\Python\Scripts","Valid"
"C:\Python","Valid"
"C:\Program Files\R\R-4.4.2\bin","Valid"
"C:\WINDOWS\system32","Valid"
"C:\WINDOWS","Valid"
"C:\WINDOWS\System32\Wbem","Valid"
"C:\WINDOWS\System32\WindowsPowerShell\v1.0\","Valid"
"C:\WINDOWS\System32\OpenSSH\","Valid"
"C:\Program Files\Git\cmd","Valid"
"C:\ffmpeg\bin","Valid"
"C:\Users\first\AppData\Local\Programs\Microsoft VS Code\bin","Valid"
"C:\Users\first\AppData\Local\Microsoft\WindowsApps","Valid"
"C:\Python","Valid"
"C:\Python\Scripts","Valid"
"C:\Python","Valid"
"C:\Program Files\Git\bin\","Valid"
"C:\Program Files\R\R-4.4.2\bin","Valid"
"C:\WINDOWS\system32","Valid"
"C:\WINDOWS","Valid"
"C:\WINDOWS\System32\Wbem","Valid"
"C:\WINDOWS\System32\WindowsPowerShell\v1.0\","Valid"
"C:\WINDOWS\System32\OpenSSH\","Valid"
"C:\Program Files\Git\cmd","Valid"
"C:\ffmpeg\bin","Valid"
"C:\Users\first\AppData\Local\Programs\Microsoft VS Code\bin","Valid"
"C:\Users\first\AppData\Local\Microsoft\WindowsApps","Valid"
"C:\Python","Valid"
"C:\Python\Scripts","Valid"
"C:\Python","Valid"
"C:\Program Files\R\R-4.4.2\bin","Valid"
"C:\WINDOWS\system32","Valid"
"C:\WINDOWS","Valid"
"C:\WINDOWS\System32\Wbem","Valid"
"C:\WINDOWS\System32\WindowsPowerShell\v1.0\","Valid"
"C:\WINDOWS\System32\OpenSSH\","Valid"
"C:\Program Files\Git\cmd","Valid"
"C:\ffmpeg\bin","Valid"
"C:\Users\first\AppData\Local\Programs\Microsoft VS Code\bin","Valid"
"C:\Users\first\AppData\Local\Microsoft\WindowsApps","Valid"
"C:\Python","Valid"
"C:\Python\Scripts","Valid"
"C:\Python","Valid"
"C:\Program Files\Git\bin\","Valid"
"C:\Users\first\AppData\Roaming\Python\Python313\Scripts","Valid"
"C:\Program Files\dotnet\","Valid"
"C:\Program Files\PowerShell\7\","Valid"
"","Empty"
