path,size_kb,category,reason
cashier_v2_core_before_period_schemafix_2026-06-25_23-17-38.py,55.2,HIGH:timestamped_name,штамп времени в пути: 2026-06-25_23-17-38
cashier_v2_core_before_period_schemafix_2026-06-25_23-17-38.py,55.2,HIGH:before_prefix,содержит 'before_' (снимок до правки)
cashier_v2_core_before_schemafix_2026-06-25_22-19-22.py,53.0,HIGH:timestamped_name,штамп времени в пути: 2026-06-25_22-19-22
cashier_v2_core_before_schemafix_2026-06-25_22-19-22.py,53.0,HIGH:before_prefix,содержит 'before_' (снимок до правки)
CHECK_guard_sandbox_service_orders.py,15.3,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_guard_sandbox_service_orders.py,15.3,REVIEW:sandbox_name,в пути встречается 'sandbox'
CHECK_guard_sandbox_service_orders_v2.py,14.1,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_guard_sandbox_service_orders_v2.py,14.1,REVIEW:sandbox_name,в пути встречается 'sandbox'
CHECK_guard_sandbox_service_orders_v2.py,14.1,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: CHECK_guard_sandbox_service_orders.py"
CHECK_phone_barrier_access_operational_sandbox.py,2.9,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_phone_barrier_access_operational_sandbox.py,2.9,REVIEW:sandbox_name,в пути встречается 'sandbox'
CHECK_phone_barrier_access_sandbox_schema.py,3.7,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_phone_barrier_access_sandbox_schema.py,3.7,REVIEW:sandbox_name,в пути встречается 'sandbox'
CHECK_profile_button_early_route_fix.py,1.9,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_profile_confirmation_ready_visibility_fix.py,1.1,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_profile_critical_codes_fix.py,1.1,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_profile_parking_time_test_sandbox.py,2.7,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_profile_parking_time_test_sandbox.py,2.7,REVIEW:sandbox_name,в пути встречается 'sandbox'
CHECK_profile_test_candidate_apartment_40.py,10.2,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_profile_verification_sandbox.py,2.5,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_profile_verification_sandbox.py,2.5,REVIEW:sandbox_name,в пути встречается 'sandbox'
CHECK_profile_verification_terminology_v2.py,2.2,REVIEW:check_script,разовый диагностический скрипт CHECK_*
CHECK_service_code_compatibility_phone_v2.py,3.7,REVIEW:check_script,разовый диагностический скрипт CHECK_*
create_clean_live_sandbox.py,15.4,REVIEW:sandbox_name,в пути встречается 'sandbox'
create_isolated_live_sandbox_v2.py,15.7,REVIEW:sandbox_name,в пути встречается 'sandbox'
Development_Conventions.md,0.9,REVIEW:duplicate_doc_name,"файл с именем 'Development_Conventions.md' встречается в нескольких папках проекта — возможен конфликт содержимого, а не просто дубль (проверьте вручную)"
diagnose_sandbox_charges.py,7.1,REVIEW:sandbox_name,в пути встречается 'sandbox'
find_sandbox_telegram_id.py,5.1,REVIEW:sandbox_name,в пути встречается 'sandbox'
FIX_live_services_sandbox_payment_schema.py,11.2,REVIEW:sandbox_name,в пути встречается 'sandbox'
guard_workspace_preflight_v2.py,13.0,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: guard_workspace_preflight.py"
INSTALL_PHONE_ACCESS_UI_FIX_v2.bat,0.4,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: INSTALL_PHONE_ACCESS_UI_FIX.bat"
INSTALL_PHONE_ACCESS_UI_FIX_v2.py,4.1,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: INSTALL_PHONE_ACCESS_UI_FIX.py"
INSTALL_PHONE_ACCESS_UI_FIX_v3.bat,0.3,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v3), и рядом существует файл без суффикса: INSTALL_PHONE_ACCESS_UI_FIX.bat"
INSTALL_PHONE_ACCESS_UI_FIX_v3.py,3.3,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v3), и рядом существует файл без суффикса: INSTALL_PHONE_ACCESS_UI_FIX.py"
manage_staff_access_v2.py,15.0,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: manage_staff_access.py"
migrate_operator_audit_log_v2.py,5.1,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: migrate_operator_audit_log.py"
MIGRATE_phone_barrier_access_operational_sandbox.py,4.7,REVIEW:sandbox_name,в пути встречается 'sandbox'
MIGRATE_phone_barrier_access_sandbox.py,4.5,REVIEW:sandbox_name,в пути встречается 'sandbox'
MIGRATE_profile_parking_time_test_sandbox.py,3.0,REVIEW:sandbox_name,в пути встречается 'sandbox'
MIGRATE_profile_verification_sandbox.py,2.5,REVIEW:sandbox_name,в пути встречается 'sandbox'
MIGRATE_simplified_services_sandbox.py,4.4,REVIEW:sandbox_name,в пути встречается 'sandbox'
OSBB_phone_access_ui_fix_v3.zip,16.4,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v3), и рядом существует файл без суффикса: OSBB_phone_access_ui_fix.zip"
OSBB_phone_barrier_access_v2_working_sandbox.zip,57.4,REVIEW:sandbox_name,в пути встречается 'sandbox'
OSBB_profile_parking_time_test_v1_sandbox.zip,25.5,REVIEW:sandbox_name,в пути встречается 'sandbox'
OSBB_profile_verification_v1_sandbox_final.zip,47.3,REVIEW:sandbox_name,в пути встречается 'sandbox'
plate_consensus_report_v3.py,22.0,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v3), и рядом существует файл без суффикса: plate_consensus_report.py"
README_LIVE_SERVICES_SANDBOX.txt,2.6,REVIEW:sandbox_name,в пути встречается 'sandbox'
README_PHONE_ACCESS_FIX_v2.txt,1.6,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: README_PHONE_ACCESS_FIX.txt"
README_PHONE_ACCESS_FIX_v3.txt,1.8,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v3), и рядом существует файл без суффикса: README_PHONE_ACCESS_FIX.txt"
